condition,edge_count,ef,eh_gate_open,epoch,mean_eh_window,recall
static,0,32,,0,,1.0
static,0,64,,0,,1.0
static,0,128,,0,,1.0
static,0,32,,1,,1.0
static,0,64,,1,,1.0
static,0,128,,1,,1.0
static,0,32,,2,,1.0
static,0,64,,2,,1.0
static,0,128,,2,,1.0
static,0,32,,3,,1.0
static,0,64,,3,,1.0
static,0,128,,3,,1.0
static,0,32,,4,,1.0
static,0,64,,4,,1.0
static,0,128,,4,,1.0
static,0,32,,5,,1.0
static,0,64,,5,,1.0
static,0,128,,5,,1.0
static,0,32,,6,,1.0
static,0,64,,6,,1.0
static,0,128,,6,,1.0
static,0,32,,7,,1.0
static,0,64,,7,,1.0
static,0,128,,7,,1.0
static,0,32,,8,,1.0
static,0,64,,8,,0.9997999999999999
static,0,128,,8,,1.0
static,0,32,,9,,1.0
static,0,64,,9,,0.9997999999999999
static,0,128,,9,,0.9997999999999999
static,0,32,,10,,1.0
static,0,64,,10,,1.0
static,0,128,,10,,1.0
static,0,32,,11,,1.0
static,0,64,,11,,1.0
static,0,128,,11,,1.0
static,0,32,,12,,1.0
static,0,64,,12,,1.0
static,0,128,,12,,1.0
static,0,32,,13,,0.325
static,0,64,,13,,0.6497999999999999
static,0,128,,13,,0.8478000000000002
static,0,32,,14,,0.3312
static,0,64,,14,,0.6285999999999999
static,0,128,,14,,0.8346
static,0,32,,15,,0.32780000000000004
static,0,64,,15,,0.622
static,0,128,,15,,0.838
static,0,32,,16,,0.321
static,0,64,,16,,0.6396000000000001
static,0,128,,16,,0.8542000000000002
static,0,32,,17,,0.3316
static,0,64,,17,,0.653
static,0,128,,17,,0.8398000000000002
static,0,32,,18,,0.3162
static,0,64,,18,,0.6322000000000001
static,0,128,,18,,0.8394000000000001
static,0,32,,19,,0.327
static,0,64,,19,,0.633
static,0,128,,19,,0.8430000000000001
static,0,32,,20,,0.32739999999999997
static,0,64,,20,,0.6386
static,0,128,,20,,0.8464
static,0,32,,21,,0.3292
static,0,64,,21,,0.644
static,0,128,,21,,0.8536000000000001
static,0,32,,22,,0.32880000000000004
static,0,64,,22,,0.6576
static,0,128,,22,,0.8610000000000001
static,0,32,,23,,0.324
static,0,64,,23,,0.6391999999999999
static,0,128,,23,,0.8484
static,0,32,,24,,0.32680000000000003
static,0,64,,24,,0.6355999999999999
static,0,128,,24,,0.8494
adaptive_improved,26620,32,,0,,1.0
adaptive_improved,26620,64,,0,,1.0
adaptive_improved,26620,128,,0,,1.0
adaptive_improved,57200,32,,1,,1.0
adaptive_improved,57200,64,,1,,1.0
adaptive_improved,57200,128,,1,,1.0
adaptive_improved,82280,32,,2,,1.0
adaptive_improved,82280,64,,2,,1.0
adaptive_improved,82280,128,,2,,1.0
adaptive_improved,110220,32,,3,,1.0
adaptive_improved,110220,64,,3,,1.0
adaptive_improved,110220,128,,3,,1.0
adaptive_improved,137500,32,,4,,1.0
adaptive_improved,137500,64,,4,,1.0
adaptive_improved,137500,128,,4,,1.0
adaptive_improved,164780,32,,5,,1.0
adaptive_improved,164780,64,,5,,1.0
adaptive_improved,164780,128,,5,,1.0
adaptive_improved,190300,32,,6,,1.0
adaptive_improved,190300,64,,6,,1.0
adaptive_improved,190300,128,,6,,1.0
adaptive_improved,216884,32,,7,,1.0
adaptive_improved,216884,64,,7,,1.0
adaptive_improved,216884,128,,7,,1.0
adaptive_improved,239544,32,,8,,1.0
adaptive_improved,239544,64,,8,,0.9997999999999999
adaptive_improved,239544,128,,8,,1.0
adaptive_improved,264624,32,,9,,1.0
adaptive_improved,264624,64,,9,,0.9997999999999999
adaptive_improved,264624,128,,9,,0.9997999999999999
adaptive_improved,289906,32,,10,,1.0
adaptive_improved,289906,64,,10,,1.0
adaptive_improved,289906,128,,10,,1.0
adaptive_improved,317626,32,,11,,1.0
adaptive_improved,317626,64,,11,,1.0
adaptive_improved,317626,128,,11,,1.0
adaptive_improved,345310,32,,12,,1.0
adaptive_improved,345310,64,,12,,1.0
adaptive_improved,345310,128,,12,,1.0
adaptive_improved,457275,32,,13,,0.377
adaptive_improved,457275,64,,13,,0.6748
adaptive_improved,457275,128,,13,,0.8568000000000001
adaptive_improved,466351,32,,14,,0.4784
adaptive_improved,466351,64,,14,,0.7028000000000001
adaptive_improved,466351,128,,14,,0.8608000000000001
adaptive_improved,471643,32,,15,,0.5556000000000001
adaptive_improved,471643,64,,15,,0.7406
adaptive_improved,471643,128,,15,,0.8744000000000001
adaptive_improved,472077,32,,16,,0.644
adaptive_improved,472077,64,,16,,0.8002
adaptive_improved,472077,128,,16,,0.9057999999999999
adaptive_improved,469555,32,,17,,0.6728000000000001
adaptive_improved,469555,64,,17,,0.8134
adaptive_improved,469555,128,,17,,0.9002
adaptive_improved,463490,32,,18,,0.7328000000000001
adaptive_improved,463490,64,,18,,0.8396
adaptive_improved,463490,128,,18,,0.9072
adaptive_improved,455796,32,,19,,0.7708
adaptive_improved,455796,64,,19,,0.8606
adaptive_improved,455796,128,,19,,0.915
adaptive_improved,497304,32,,20,,0.7678000000000001
adaptive_improved,497304,64,,20,,0.8600000000000001
adaptive_improved,497304,128,,20,,0.9162
adaptive_improved,488951,32,,21,,0.8132
adaptive_improved,488951,64,,21,,0.8832000000000001
adaptive_improved,488951,128,,21,,0.927
adaptive_improved,480089,32,,22,,0.823
adaptive_improved,480089,64,,22,,0.886
adaptive_improved,480089,128,,22,,0.9274000000000001
adaptive_improved,470756,32,,23,,0.8416000000000001
adaptive_improved,470756,64,,23,,0.8942
adaptive_improved,470756,128,,23,,0.9266000000000001
adaptive_improved,462429,32,,24,,0.8474
adaptive_improved,462429,64,,24,,0.8932
adaptive_improved,462429,128,,24,,0.9298000000000002
adaptive_improved_gated,0,32,False,0,143.81994506039737,1.0
adaptive_improved_gated,0,64,False,0,143.81994506039737,1.0
adaptive_improved_gated,0,128,False,0,143.81994506039737,1.0
adaptive_improved_gated,0,32,False,1,143.8494764418778,1.0
adaptive_improved_gated,0,64,False,1,143.8494764418778,1.0
adaptive_improved_gated,0,128,False,1,143.8494764418778,1.0
adaptive_improved_gated,0,32,False,2,144.15166107595576,1.0
adaptive_improved_gated,0,64,False,2,144.15166107595576,1.0
adaptive_improved_gated,0,128,False,2,144.15166107595576,1.0
adaptive_improved_gated,0,32,False,3,141.5336431512203,1.0
adaptive_improved_gated,0,64,False,3,141.5336431512203,1.0
adaptive_improved_gated,0,128,False,3,141.5336431512203,1.0
adaptive_improved_gated,0,32,False,4,143.10856989598003,1.0
adaptive_improved_gated,0,64,False,4,143.10856989598003,1.0
adaptive_improved_gated,0,128,False,4,143.10856989598003,1.0
adaptive_improved_gated,0,32,False,5,141.49414536591087,1.0
adaptive_improved_gated,0,64,False,5,141.49414536591087,1.0
adaptive_improved_gated,0,128,False,5,141.49414536591087,1.0
adaptive_improved_gated,0,32,False,6,142.60074537618374,1.0
adaptive_improved_gated,0,64,False,6,142.60074537618374,1.0
adaptive_improved_gated,0,128,False,6,142.60074537618374,1.0
adaptive_improved_gated,0,32,False,7,146.8666140182881,1.0
adaptive_improved_gated,0,64,False,7,146.8666140182881,1.0
adaptive_improved_gated,0,128,False,7,146.8666140182881,1.0
adaptive_improved_gated,0,32,False,8,139.20992166769923,1.0
adaptive_improved_gated,0,64,False,8,139.20992166769923,0.9997999999999999
adaptive_improved_gated,0,128,False,8,139.20992166769923,1.0
adaptive_improved_gated,0,32,False,9,144.95596347060814,1.0
adaptive_improved_gated,0,64,False,9,144.95596347060814,0.9997999999999999
adaptive_improved_gated,0,128,False,9,144.95596347060814,0.9997999999999999
adaptive_improved_gated,0,32,False,10,140.74247429343424,1.0
adaptive_improved_gated,0,64,False,10,140.74247429343424,1.0
adaptive_improved_gated,0,128,False,10,140.74247429343424,1.0
adaptive_improved_gated,0,32,False,11,139.2476047352047,1.0
adaptive_improved_gated,0,64,False,11,139.2476047352047,1.0
adaptive_improved_gated,0,128,False,11,139.2476047352047,1.0
adaptive_improved_gated,0,32,False,12,138.84207320996305,1.0
adaptive_improved_gated,0,64,False,12,138.84207320996305,1.0
adaptive_improved_gated,0,128,False,12,138.84207320996305,1.0
adaptive_improved_gated,100951,32,True,13,232.83204292947036,0.364
adaptive_improved_gated,100951,64,True,13,232.83204292947036,0.668
adaptive_improved_gated,100951,128,True,13,232.83204292947036,0.8544
adaptive_improved_gated,210622,32,True,14,232.83204292947036,0.4714
adaptive_improved_gated,210622,64,True,14,232.83204292947036,0.6974000000000001
adaptive_improved_gated,210622,128,True,14,232.83204292947036,0.858
adaptive_improved_gated,316262,32,True,15,232.83204292947036,0.549
adaptive_improved_gated,316262,64,True,15,232.83204292947036,0.738
adaptive_improved_gated,316262,128,True,15,232.83204292947036,0.8738
adaptive_improved_gated,417120,32,True,16,232.83204292947036,0.6355999999999999
adaptive_improved_gated,417120,64,True,16,232.83204292947036,0.7975999999999999
adaptive_improved_gated,417120,128,True,16,232.83204292947036,0.9047999999999999
adaptive_improved_gated,464418,32,True,17,232.83204292947036,0.6714000000000001
adaptive_improved_gated,464418,64,True,17,232.83204292947036,0.813
adaptive_improved_gated,464418,128,True,17,232.83204292947036,0.8996000000000002
adaptive_improved_gated,458129,32,True,18,232.83204292947036,0.7374
adaptive_improved_gated,458129,64,True,18,232.83204292947036,0.8406000000000001
adaptive_improved_gated,458129,128,True,18,232.83204292947036,0.9076000000000002
adaptive_improved_gated,450103,32,True,19,232.83204292947036,0.7682
adaptive_improved_gated,450103,64,True,19,232.83204292947036,0.8598000000000002
adaptive_improved_gated,450103,128,True,19,232.83204292947036,0.9148000000000001
adaptive_improved_gated,491686,32,True,20,232.83204292947036,0.7626000000000001
adaptive_improved_gated,491686,64,True,20,232.83204292947036,0.8572000000000001
adaptive_improved_gated,491686,128,True,20,232.83204292947036,0.9150000000000003
adaptive_improved_gated,483040,32,True,21,232.83204292947036,0.8122
adaptive_improved_gated,483040,64,True,21,232.83204292947036,0.8822000000000001
adaptive_improved_gated,483040,128,True,21,232.83204292947036,0.9264000000000001
adaptive_improved_gated,474437,32,True,22,232.83204292947036,0.8204000000000001
adaptive_improved_gated,474437,64,True,22,232.83204292947036,0.886
adaptive_improved_gated,474437,128,True,22,232.83204292947036,0.927
adaptive_improved_gated,464816,32,True,23,232.83204292947036,0.8424
adaptive_improved_gated,464816,64,True,23,232.83204292947036,0.8936000000000002
adaptive_improved_gated,464816,128,True,23,232.83204292947036,0.9264
adaptive_improved_gated,456130,32,True,24,232.83204292947036,0.8443999999999999
adaptive_improved_gated,456130,64,True,24,232.83204292947036,0.8912
adaptive_improved_gated,456130,128,True,24,232.83204292947036,0.9294000000000001
